conm,gvkey,tic
CUMMINS INC,003650,CMI
CURTISS-WRIGHT CORP,003662,CW
XO LOGIC INC,003668,DTGP
COLORADO MEDTECH INC,003673,CMED.1
GT BIOPHARMA INC,003691,GTBP
DMI FURNITURE INC,003700,DMIF
DST SYSTEMS INC,003707,DST
WENDY'S CO,003708,WEN
SENSYTECH INC,003711,STST.
DAIRY MART CONVENIENCE STRS,003713,3DMCSQ
DANA INC,003734,DAN
DANAHER CORP,003735,DHR
SMTEK INTERNATIONAL INC,003756,SMTI.1
DATA I/O CORP,003761,DAIO
UNITED SYSTEMS TECHNOLOGY,003762,USTG
INRANGE TECHNOLOGIES CORP,003769,INRG
DATAKEY INC,003773,DKEY
MEDIA 100 INC,003776,MDEA
DATAMARINE INTL INC,003779,DMAR
DATAMETRICS CORP,003781,DMCP
CATTLESALE CO,003782,CTLE.
DATARAM CORP - OLD,003785,DRAM.1
DATASCOPE CORP,003786,DSCP
DATATAB INC,003789,DTAB10
SCIENTIFIC TECHNOLOGIES INC,003793,STIZ
DATRON SYSTEMS INC/DE,003796,DTSI.1
DATUM INC,003798,DATM
DAVEY TREE EXPERT CO,003801,7183B
DAWSON GEOPHYSICAL CO,003806,DWSN
DAXOR CORP,003807,DXR
TARGET CORP,003813,TGT
DPL INC,003814,AES5
DE ROSE INDUSTRIES,003819,7413B
VIEWTRAN GROUP INC,003820,VIEWF
DEAN FOODS CO  -OLD,003821,DF.1
DEB SHOPS INC,003824,DEBS
DECORATOR INDUSTRIES INC,003833,DINIQ
DEERE & CO,003835,DE
DEERE (JOHN) CAPITAL CORP,003836,DE1
DGT HOLDINGS CORP,003839,DGTC
DEL LABORATORIES INC,003840,DLI
DVL INC,003842,DVLN
CONECTIV INC,003848,POM2
DELTA AIR LINES INC,003851,DAL
DELTA NATURAL GAS CO INC,003855,DGAS
DELTONA CORP,003861,3DLTA.
AMERICAN CLASSIC VOYAGES CO,003862,AMCVQ
DELUXE CORP,003863,DLX
RELIABLE POWER SYSTEMS INC,003865,RPSI
HYDRON TECHNOLOGIES INC,003872,HTEC.1
GRISTEDES FOODS INC,003886,GRI.2
DETECTION SYSTEMS INC,003892,DETC
DETREX CORP,003895,DTRX
DTE ENERGY CO,003897,DTE
ADTALEM GLOBAL EDUCATION INC,003905,ATGE
DEWEY ELECTRONICS CORP,003908,DEWY
DEXTER CORP,003911,DEX.1
DI GIORGIO CORP,003914,8295B
BIOQUAL INC,003915,BIOQ
LIFECORE BIOMEDICAL INC,003916,LCBM
DIAGNOSTIC PRODUCTS CORP,003917,DP
DRS TECHNOLOGIES INC,003918,DRS
VERIZON INC / DE,003931,VZ3
QUENTRA NETWORKS INC,003933,QTRAQ
DIAPULSE CORP OF AMERICA,003934,DIAC
PYXUS INTERNATIONAL INC,003937,PYX
DIEBOLD NIXDORF INC,003946,DBD
VERITAS DGC INC,003949,VTS
NORTECH SYSTEMS INC,003962,NSYS
DILLARDS INC  -CL A,003964,DDS
DIODES INC,003969,DIOD
DIONEX CORP,003971,DNEX
DIONICS INC,003972,DION
DISNEY (WALT) CO,003980,DIS
DISTINCTIVE DEVICES INC,003983,DDVS
DIXIE GROUP INC,004001,DXYN
DIXON TICONDEROGA CO,004005,DXT
DOLLAR GENERAL CORP,004016,DG
DOFASCO INC,004017,DFS..
WESTERN FOREST PRODUCTS INC,004019,WFSTF
DOMCO TARKETT INC,004020,DOC.2
DOMINGUEZ SERVICES CORP,004024,DOMZ
DOMINION ENERGY INC,004029,D
DOMTAR INC,004034,DTC.
DONALDSON CO INC,004036,DCI
DONNELLEY (R R) & SONS CO,004040,RRD
DONOHUE INC  -CL A,004041,DHC.A
DORCHESTER MINERALS  -LP,004045,DMLP
CONSTAR INTERNATIONAL INC,004049,CNSTQ
WIND ENERGY AMERICA INC,004051,WNEA
ESCALERA RESOURCES CO,004052,ESCRQ
DOVER CORP,004058,DOV
DOVER INDUSTRIES LTD,004059,DVI.Z
DUPONT  DE NEMOURS INC,004060,DD
DOW JONES & CO INC,004062,DJ
DOWNEY FINANCIAL CORP,004065,DWNFQ
OMNICOM GROUP,004066,OMC
ASCENA RETAIL GROUP INC,004072,ASNA
LASERCARD CORP,004077,LCRD
DREYER'S GRAND ICE CRM HLDGS,004078,DRYR
DRIVER-HARRIS CO,004083,DRHA
DUPONT CANADA  -CL A,004086,DUP.A
DU PONT (E I) DE NEMOURS,004087,DD.2
ALCO STORES INC,004090,ALCSQ
DUCOMMUN INC,004091,DCO
DUKE ENERGY CORP,004093,DUK
DUN & BRADSTREET CORP,004094,DNB
DUNES HOTELS & CASINOS INC,004097,DUNE.
DUQUESNE LIGHT HOLDINGS INC,004103,DQE
FLOWSERVE CORP,004108,FLS
DYCOM INDUSTRIES INC,004115,DY
DYLEX LTD,004116,DLX.1
DYNCORP INC,004119,6059B
DYNAMIC HOMES INC,004121,DYHM
DYNATEC INTERNATIONAL INC,004123,DYNX
DYNATRONICS CORP,004124,DYNT
DYNAMICS RESEARCH CORP,004127,DRCO
COBRA ELECTRONICS CORP,004128,COBR
DYNASIL CORP OF AMERICA,004130,DYSL
ACTERNA CORP,004132,3ACTRQ
EAC INDUSTRIES,004138,EACI
ECI TELECOMMUNICATIONS  -ORD,004140,ECIL
PERKINELMER INC,004145,PKI
METWOOD INC-OLD,004149,MTWD.1
SUPREME INDUSTRIES INC,004156,STS
E'TOWN CORP,004160,ETW.1
E-Z-EM INC,004162,EZEM
EAGLE EXPLORATION CO/CO,004166,EGXP
EAGLE-PICHER INC,004168,EGLP
MATRIXX RESOURCE HLDGS INC,004173,MXXH
EARTH SCIENCES INC,004176,ESCI
WORKSAFE INDUSTRIES INC,004182,3WRKSE
EASTERN CO,004186,EML
EASTERN ENTERPRISES,004189,EFU.1
EASTERN UTILITIES ASSOC,004191,EUA
EASTGROUP PROPERTIES,004193,EGP
EASTMAN KODAK CO,004194,KODK
EATON CORP PLC,004199,ETN
EATON VANCE CORP,004201,EV
ECHO BAY MINES LTD,004205,ECO.2
ECOLAB INC,004213,ECL
EDO CORP,004222,EDO.
ECC INTERNATIONAL CP,004223,ECC.1
EDUCATIONAL DEVELOPMENT CORP,004225,EDUC
DENTAL MED DIAGNOSTIC SYS,004228,DMDS
EDWARDS (A G) INC,004230,AGE.1
EICO ELECTRONIC INSTR CO INC,004235,3EICO
EL PASO ELECTRIC CO,004241,EE
EL PASO CORP,004242,EP
ELAN CORP PLC,004245,ELN
ELBIT LTD,004248,ELBT
ELKCORP,004251,ELK
STERLING CAPITAL INV  -CL A,004267,CPHG
ELECTRO RENT CORP,004273,ELRC
ELECTRO SCIENTIFIC INDS INC,004274,ESIO
ELECTRO-SENSORS INC,004275,ELSE
ELECTROHOME LTD  -CL Y,004277,ELL.Z.
EMS TECHNOLOGIES INC,004279,ELMG
ELECTR TELE-COMMUNCTN,004292,ETCIA
EMCEE BROADCAST PRODUCTS INC,004296,ECIN
ELGIN NATIONAL INDUSTRIES,004302,0571B
ELRON ELECTRONIC INDS LTD,004311,ELRNF
ELSCINT LTD,004312,ELT.1
ELSINORE CORP,004313,ELSO
EMCO LTD,004316,EMLTF
EMERSON ELECTRIC CO,004321,EMR
EMERSON RADIO CORP,004322,MSN
EMONS TRANSPORATION GROUP,004328,EMON.1
EMPI INC-REDH,004329,EMP.
EMPIRE DISTRICT ELECTRIC CO,004331,EDE
EMPIRE OF CAROLINA INC,004335,EMPIQ
EMULEX CORP,004340,ELX
SORL AUTO PARTS INC,004341,SORL
ENERGEN CORP,004351,EGN
ENERGY CONVERSION DEV,004352,ENERQ
AMERICAN MILLENIUM CORP,004359,AMCI.1
CENTRUM INDUSTRIES INC,004364,CIII
WEATHERFORD INTL PLC,004367,WFTIF
ENEX RESOURCES CORP,004369,3ENEX
ENGELHARD CORP,004371,EC.2
ENGINEERED SUPPORT SYSTEMS,004372,EASI.1
ENGINEERING MEASUREMENTS CO,004374,EMCO.
ENERGYNORTH INC,004381,EI
ATMOS ENERGY CORP,004383,ATO
MARATHON PATENT GROUP INC,004384,MARA
ENNIS INC,004390,EBF
TXU GAS CO,004393,TXU2
ENZON PHARMACEUTICALS INC,004409,ENZN
VISKASE COMPANIES INC,004412,VKSC
ENVIRONMENTAL TECTONICS CORP,004415,ETCC
ENZO BIOCHEM INC,004418,ENZ
EQUIFAX INC,004423,EFX
HARRIS & HARRIS GROUP-OLD,004424,HHGP.
EQT CORP,004430,EQT
EQUITY OIL CO,004434,EQTY
TELEFONAKTIEBOLAGET LM ERICS,004439,ERIC
ESCALADE INC,004448,ESCA
ESPEY MFG & ELECTRONICS CORP,004450,ESP
ESSEX CORP,004456,KEYW.1
ESTERLINE TECHNOLOGIES CORP,004460,ESL
NEWMARKET CORP,004462,NEU
ETZ LAVUD LTD,004463,ETZLF
EVANS & SUTHERLAND CMP CORP,004467,ESCC
EXAR CORP,004476,EXAR
CONVERA CORP,004477,CNVR.
KINGSTONE COS INC,004485,KINS
EXOLON ESK CO,004491,3EXOL
EXOTECH INC,004492,EXTC.
EXPEDITORS INTL WASH INC,004494,EXPD
EXPERTELLIGENCE INC,004495,3EXTL
TXCO RESOURCES INC,004496,TXCOQ
DMC GLOBAL INC,004497,BOOM
INSTEEL INDUSTRIES,004498,IIIN
EXXON MOBIL CORP,004503,XOM
FAFCO INC,004507,FAFO
FMC CORP,004510,FMC
ORLEANS HOMEBUILDERS INC,004515,OHBIQ
NEXTERA ENERGY INC,004517,NEE
FAB INDUSTRIES INC,004520,FITN
JO-ANN STORES INC,004523,JAS
FAIR GROUNDS CORP,004537,FGRD
BIOSTEM US CORP,004544,HAIR.1
FAIRFIELD COMMUNITIES INC,004546,FFD.1
FAIRMOUNT CHEMICAL CO INC,004551,FMTC
FALCON PRODUCTS INC,004553,FCPR
FALCONBRIDGE LTD -OLD,004555,8824B
FALL RIVER GAS CO,004556,FAL.3
FAMILY DOLLAR STORES,004560,FDO
FANSTEEL INC/DE,004568,FELI
WESTMINSTER CAPITAL INC,004569,WI.1
COVISTA COMMUNICATIONS INC,004572,CVST
FARM FISH INC,004576,FFIH
FARMER BROTHERS CO,004579,FARM
FARMLAND INDUSTRIES INC,004584,1970B
FARR CO,004585,FARC
FEDDERS CORP,004595,FJCC
FEDEX CORP,004598,FDX
RUSSEL METALS INC,004599,RUSMF
FEDERAL-MOGUL HOLDINGS CORP,004600,FDML
FEDERAL NATIONAL MORTGA ASSN,004601,FNMA
FEDERAL REALTY INVESTMENT TR,004605,FRT
COLE REAL ESTATE INVESTMENTS,004606,COLE
FEDERAL SCREW WORKS,004607,FSCR
FEDERAL SIGNAL CORP,004608,FSS
MACY'S INC,004611,M
FERRO CORP,004622,FOE
FERROFLUIDICS CORP,004623,FERO.
CALADRIUS BIOSCIENCES INC,004632,CLBS
FIFTH THIRD BANCORP,004640,FITB
SCOTT TECHNOLOGIES INC,004641,SCTT.
SCHAWK INC  -CL A,004645,SGK
INTERACTIVE DATA HLDGS -REDH,004666,IDC
FINNING INTERNATIONAL INC,004669,FINGF
FIRECOM INC,004671,3FRCM
REGIONS FINANCIAL CORP,004674,RF
INAMED CORP,004675,IMDC.
FIRSTMERIT CORP,004678,FMER
HYDE PARK ACQUISITION CP II,004681,HPAC
U S BANCORP/DE-OLD,004682,USB.1
TRUSTMARK CORP,004685,TRMK
FIRST CITIZENS BANCSH  -CL A,004690,FCNCA
FCCC INC,004695,FCIC
M & T BANK CORP,004699,MTB
FIRST FINANCIAL CORP/TX,004702,4069B
FIRST HARTFORD CORP,004707,FHRT
BANCWEST CORP,004708,BWE
ALLFIRST FINANCIAL INC,004715,AIB1
CHEMFIRST INC,004719,CEM.2
U S BANCORP,004723,USB
MEDIA SOURCE INC,004731,3MESHE
FIRST REPUBLIC CORP AMERICA,004735,FRPC
FIRST SECURITY CORP/DE,004736,FSCO
FIRST HORIZON NATIONAL CORP,004737,FHN
WACHOVIA CORP,004739,WB.3
WINTHROP REALTY TRUST,004740,FUR
FIRST VIRGINIA BANKS INC,004742,FVB
FLAMEMASTER CORP,004758,FAME
FLANIGANS ENTERPRISES INC,004759,BDL
MAGELLAN AEROSPACE CORP,004763,MALJF
FLEETBOSTON FINANCIAL CORP,004764,FBF
FLEETWOOD ENTERPRISES INC,004768,FLTWQ
FLEMING COMPANIES INC,004769,FLMIQ
FLEXSTEEL INDUSTRIES INC,004771,FLXS
FLIGHT INTERNATIONAL GROUP,004777,FLTI.1
GERALD STEVENS INC,004783,GSVE
FLORIDA EAST COAST INDS,004790,FLA
FLORIDA POWER & LIGHT CO,004798,FPL1
DUKE ENERGY FLORIDA INC,004799,DUK9
FLORIDA PROGRESS CORP,004800,PGN3
FLORIDA PUBLIC UTILITIES CO,004801,FPU
FLORIDA ROCK INDUSTRIES INC,004802,FRK
AMERISTEEL CORP,004803,3406B
GRC INTL INC,004806,GRH.2
FLOW INTL CORP,004807,FLOW.1
FLOWERS FOODS INC,004809,FLO
FLUOR CORP,004818,FLR
FONAR CORP,004826,FONR
DELHAIZE AMERICA INC,004828,DEG1
FOODARAMA SUPERMARKETS,004830,FSM.2
TRUE NORTH COMMUNICATIONS,004834,TNO.1
FORD MOTOR CO,004839,F
FORD MOTOR CREDIT CO LLC,004840,F1
FOREST CITY REALTY TRUST INC,004842,FCE.A
FOREST LABORATORIES  -CL A,004843,FRX
FOREST OIL CORP -OLD,004844,FST
SWISS ARMY BRANDS INC,004847,SABI
PRESS VENTURES INC,004853,PVEN
CONNECTIVITY TECHNOLGIES INC,004854,CVTK
FOSTER (LB) CO,004860,FSTR
FOSTER WHEELER AG,004864,FWLT
FRANKLIN MINING INC,004878,FMNJ
FRANKLIN ELECTRIC CO INC,004881,FELE
FRANKLIN RESOURCES INC,004885,BEN
FRANKS NURSERY & CRAFTS INC,004887,FNCNQ
FRAWLEY CORP,004891,FRWL
FREEPT MCMORAN O&G ROYALTY,004894,3FMOLS
FREQUENCY ELECTRONICS INC,004900,FEIM
FRIEDMAN INDUSTRIES INC,004903,FRD
FRISCH'S RESTAURANTS INC,004911,FRS
FROZEN FOOD EXPRESS INDS,004918,FFEX
FUJIFILM HLDGS CORP,004925,FUJIY
FULLER (H. B.) CO,004926,FUL
METROMEDIA INTERNATIONAL GRP,004932,MTRM
G&K SERVICES INC  -CL A,004936,GK
GATX CORP,004941,GATX
GSW INC  -CL B,004960,GSW.Z.
GTE CORP,004961,GTE.1
NETOPTIX CORP,004972,OPTX.1
ARTHUR J GALLAGHER & CO,004973,AJG
STRATEGIC VALUE CORP,004976,SVA.1
TEGNA INC,004988,TGNA
GAP INC,004990,GPS
GARAN INC,004993,GAN.
AEROJET ROCKETDYNE HOLDINGS,005018,AJRD
GENDIS INC  -CL A,005019,GNDIF
GENENTECH INC,005020,DNA
GENERAL AMERICAN INVESTORS,005024,GAM
GA EXPRESS INC,005027,GAEX
GENERAL BINDING CORP,005032,GBND
HARCOURT GENERAL INC,005038,H.2
GENERAL DATACOMM INDUSTRIES,005043,GNRD
MEDCLEAN TECHNOLOGIES INC,005045,MCLN
GENERAL DYNAMICS CORP,005046,GD
GENERAL ELECTRIC CO,005047,GE
GENERAL ELECTRIC CAP CORP,005048,GE1
GEE GROUP INC,005050,JOB
GENERAL KINETICS INC,005065,GKIN
GENERAL MAGNAPLATE CORP,005066,GMCC.1
GENERAL MILLS INC,005071,GIS
ALLY FINANCIAL INC,005072,ALLY
GENERAL MOTORS CO,005073,GM
ELECTRONIC DATA SYSTEMS CORP,005074,EDS.
GPU INC,005079,GPU.
SPX CORP,005087,SPXC
VERIZON INC/CA,005090,VZ12
VERIZON INC/FL,005091,VZ13
VERIZON INC/NORTH,005093,VZ15
VERIZON INC/NORTHWEST,005097,VZ16
VERIZON SOUTH INC,005100,VZ17
GTE SOUTHWEST INC,005101,GTE15
GENESCO INC,005109,GCO
GENESEE CORP  -CL B,005111,3GENBB
GENTEX CORP,005116,GNTX
GENRAD INC,005122,GEN.2
GENUINE PARTS CO,005125,GPC
GEORESOURCES INC -OLD,005129,GEOI.1
BONTEX INC,005133,BOTX
GEORGIA-PACIFIC CORP,005134,GP.1
GEORGIA POWER,005135,SO2
GERBER SCIENTIFIC INC,005142,GRB
GESCO INDUSTRIES INC,005147,GSD..
GETTY REALTY CORP,005149,GTY
GIANT GROUP LTD,005152,GGLT
GIGA-TRONICS INC,005165,GIGA
SALIENT 3 COMMUN INC  -CL A,005166,3STCIA
GILLETTE CO,005169,G.1
GISH BIOMEDICAL INC,005174,GISH
GLATFELTER,005179,GLT
GLAXOSMITHKLINE PLC,005180,GSK
GLOBALSANTAFE CORP,005187,GSF.2
GLOBUS GROWTH GROUP,005193,GPIX10
BALKORE INDUSTRIES INC,005198,BLKO
WESTERN SIERRA RESOURCE CORP,005202,WSRC
GOLD RESERVE INC,005205,GDRZF
GOLD KIST INC,005208,2766B
GOLDEN ENTERPRISES,005210,GLDC
MIRAGE RESORTS INC,005211,MIR.1
WHITEMARK HOMES INC,005215,WTMK
GOLDEN WEST FINANCIAL CORP,005216,GDW
GOLDFIELD CORP,005218,GV
GOODHEART-WILLCOX CO INC,005224,GWOX
GOODRICH CORP,005229,GR
GOODYEAR TIRE & RUBBER CO,005234,GT
GORMAN-RUPP CO,005237,GRC
KYTHERA BIOPHARMA INC,005241,KYTH
COLE REAL ESTATE INCM STRTGY,005242,6283B
GOULD INVESTORS  -LP,005246,GDVTZ
GRACE (W R) & CO,005250,GRA
GRACO INC,005252,GGG
GRADCO SYSTEMS INC,005253,3GRDC
GRAHAM CORP,005254,GHM
GRAINGER (W W) INC,005256,GWW
GRAY TELEVISION INC,005284,GTN
GRAYBAR ELECTRIC CO INC,005288,1737B
COLE CORPORATE INCM TR INC,005296,6284B
GREAT ATLANTIC & PAC TEA CO,005301,GAPTQ
ORMINEX LTD,005302,TGBRY
GREAT LAKES CHEMICAL CORP,005306,GLK.1
BOWATER PULP & PAPER,005307,BOW1.
GREAT NORTHERN IRON ORE PPTY,005313,GNI
PHOENIX FOOTWEAR GROUP INC,005327,PXFG
GREEN MOUNTAIN POWER CORP,005330,GMP.1
CONSECO FINANCE CORP,005331,3CNCEQ1
NOODLE KIDOODLE INC,005334,NKID
ALSERES PHARMACEUTICALS INC,005336,ALSE
GREIF INC  -CL A,005338,GEF
GREY GLOBAL GROUP INC,005340,GREY
MONEYGRAM INTERNATIONAL INC,005342,MGI
GRUBB & ELLIS CO,005357,GRBEQ
GUEST SUPPLY INC,005374,GSY.2
GUILFORD MILLS INC,005377,3GMIL
GULFMARK OFFSHORE INC,005379,GLF
GULF POWER CO,005385,SO3
ENTERGY GULF STATES LA LLC,005387,ETR7
GYRODYNE LLC,005395,GYRO
HEI INC,005404,HEIIQ
HIA INC,005405,3HIAI
HMG COURTLAND PROPERTIES,005408,HMG
HPSC INC,005412,HDR
HUDSON UNITED BANCORP,005417,HU
HABER INC,005418,ASPT
HADCO CORP,005420,HDC.
MIRACOR DIAGNOSTICS INC,005421,MRDG
ANALEX CORP,005422,NLX.2
HALIFAX CORP,005432,HALX
HALLIBURTON CO,005439,HAL
HALLWOOD GROUP INC,005442,HWG
HAMPTON INDUSTRIES,005456,3HPTI
HANCOCK (JOHN) INCOME SEC,005457,JHS
HANDLEMAN CO,005458,HDLM
HANNA (M A) CO,005464,MAH.1
HANNAFORD BROTHERS CO,005465,HRD.1
HKN INC,005475,HKNI
HARLAND (JOHN H.) CO,005476,JH
AMEXDRUG CORP,005479,AXRX
CIRCLE INTERNATIONAL GRP INC,005485,CRCL.
NORAM CAPITAL HOLDINGS INC,005488,NRMH
HARRIS CORP,005492,HRS
HARSCO CORP,005496,HSC
HSB GROUP INC,005503,HSB.
HARTMARX CORP,005505,HTMXQ
HARVARD INDUSTRIES INC,005508,HAVA
HARVEY ELECTRONICS INC,005513,HRVEQ
HASBRO INC,005518,HAS
HASTINGS MANUFACTURING CO,005519,HGMG
ALLIED MOTION TECHNOLOGIES,005520,AMOT
HAVERTY FURNITURE,005523,HVT
HAWAIIAN ELECTRIC CO,005525,HE1
HAWAIIAN ELECTRIC INDS,005526,HE
VERIZON INC/HI,005527,VZ14
HAWKER SIDDELEY CANADA,005528,HSC..
HAWKINS INC,005530,HWKN
HEALTHCARE SERVICES GROUP,005539,HCSG
WELLTOWER INC,005543,WELL
HMI INDUSTRIES INC,005549,HMII
HEALTHWATCH INC,005557,HEAL
STERLING CONSTRUCTION CO INC,005559,STRL
HECLA MINING CO,005560,HL
HEILIG-MEYERS CO,005564,HMYRQ
HEICO CORP,005567,HEI
KRAFT HEINZ CO,005568,KHC
ABLEST INC,005569,AIH
HELEN OF TROY LTD,005572,HELE
HELIX TECHNOLOGY CORP,005578,HELX.1
HELM CAPITAL GROUP INC,005579,HCGI.1
HELMERICH & PAYNE,005581,HP
HEMISPHERE ENERGY CORP,005583,HMENF
HERCULES INC,005589,HPC
HERLEY INDUSTRIES INC/DE,005594,HRLY
HERSHEY CO,005597,HSY
SCHNEIDER CORP  -CL A,005599,SCD.A
HERTZ GLOBAL HOLDINGS INC,005600,HTZ
HP INC,005606,HPQ
HEXCEL CORP,005608,HXL
HI-SHEAR INDUSTRIES,005614,3HISR
HIBERNIA CORP  -CL A,005619,HIB
CRAWFORD UNITED CORP,005621,CRAWA
HIGH PLAINS CORP,005626,HIPC.
HILL-ROM HOLDINGS INC,005639,HRC
HILTON WORLDWIDE HOLDINGS,005643,HLT
HITACHI LTD,005650,HTHIY
HOLLYFRONTIER CORP,005667,HFC
PINNACLE ENTERTAINMENT INC,005671,PNK
HOLOBEAM INC,005674,HOOB
HOMASOTE CO,005678,HMTC
HOME DEPOT INC,005680,HD
HOMEFED CORP,005681,HOFD
HOMESTAKE MINING,005686,HM
DOVER INVESTMENT CP  -CL A,005687,3DOVRA
HNI CORP,005690,HNI
HONDA MOTOR CO LTD,005691,HMC
HOOPER HOLMES INC,005697,HPHWQ
HORMEL FOODS CORP,005709,HRL
HANOVER DIRECT INC,005711,HNVD
WYANT CORP,005721,WYNT
STARWOOD HOTELS&RESORTS WRLD,005723,HOT
HOUGHTON MIFFLIN CO,005726,0780B
HOUSEHOLD FINANCE CORP,005734,HI2
HSBC FINANCE CORP,005735,HBC1
HOSOI GARDEN MORTUARY INC,005741,HGMI
CENTERPOINT ENERGY INC,005742,CNP
HOVNANIAN ENTRPRS INC  -CL A,005750,HOV
HOWELL CORP,005757,HWL
URSTADT BIDDLE PROPERTIES,005763,UBA
HUBBELL INC,005764,HUBB
HUDSON'S BAY CO,005770,HBAYF
HUFFY CORP,005772,HUFCQ
HUGHES SUPPLY INC,005774,HUG
HUNT CORP,005782,HUN.2
HUNT (JB) TRANSPRT SVCS INC,005783,JBHT
HUNTINGDON LIFE SCIENCE PLC,005785,3HTDLY
HUNTINGTON BANCSHARES,005786,HBAN
HURCO COS INC,005788,HURC
HUTCHINSON TECHNOLOGY INC,005791,HTCH
HUTTIG BUILDING PRODUCTS INC,005792,HBP
HYCOR BIOMEDICAL INC,005798,HYBD
SAUCONY INC  -CL B,005802,SCNYB
HYDRO QUEBEC,005808,4300A
HYDROMER INC,005811,HYDI
HYTEK MICROSYSTEMS INC,005818,3HTEK
IBM CREDIT CORP,005822,IBM1
ICH CORP,005823,ICHP
PEPSIAMERICAS INC,005824,PAS
ICO INC,005826,ICOC
IEC ELECTRONICS CORP,005831,IEC
LIFE PARTNERS HOLDINGS INC,005835,LPHIQ
IIS-INTELLIGENT INFORMATION,005837,IISLF
CYPRESS BIOSCIENCE INC,005841,CYPB
MERCURY AIR GROUP INC,005847,MYAG
IBP INC,005848,IBP.1
BBX CAPITAL CORP,005849,BBX
IRT PROPERTY CO,005851,IRT.1
VENTRA GROUP INC,005858,VTA.
ITT INC,005860,ITT
RAYONIER INC,005862,RYN
IDACORP INC,005870,IDA
ILLINOIS TOOL WORKS,005878,ITW
IMMUNEX CORP,005885,IMNX
TELIGENT INC,005888,TLGT
ICI-IMPERIAL CHEM INDS PLC,005894,ICIYY
IMPERIAL INDUSTRIES INC,005899,IPII
IMATRON INC,005901,IMAT
IMMUNOMEDICS INC,005902,IMMU
IMPERIAL OIL LTD,005903,IMO
INCO LTD,005905,INCLF
INDIANA MICHIGAN POWER CO,005914,AEP2
VECTREN CORP,005918,VVC
INDIANAPOLIS POWER & LIGHT,005921,IPL1
IEH CORP,005932,IEHC
INFINITE GRAPHICS INC,005941,INFG
INFODATA SYSTEMS INC,005944,3INFD
INGERSOLL-RAND PLC,005959,IR
INFORMATION RESOURCES INC,005961,IRIC
1MAGE SOFTWARE INC,005962,ISOL
INITIO INC,005965,INTO
RYERSON HOLDING CORP,005968,RYI
WINDGEN ENERGY INC,005971,WGEI
INNOVEX INC,005973,INVX
INSILCO HOLDING CO,005976,INSLQ
INEI CORP,005977,INEY
AEGION CORP,005978,AEGN
TERRA INDUSTRIES INC,005980,TRA
GRIFFON CORP,005987,GFF
INSTRUMENTARIUM CORP,005988,INMRY
GOLF HOSTS RESORTS INC,005998,4505A
INTECH INC,006000,INTE.
INTEGRATED DEVICE TECH INC,006003,IDTI
INTEL CORP,006008,INTC
INTELLICORP INC,006010,3INAIQ
INTELLIGENT SYSTEM CORP,006013,INS
DAIN RAUSCHER CORP,006019,DRC.2
INTER-TEL INC  -SER A,006020,INTL.1
INRAD OPTICS INC,006021,INRD
MORGAN STANLY INCOME SEC,006024,ICB
FURNITURE BRANDS INTL INC,006025,FBNIQ
INTERDYNE CO,006033,ITDN
INTERFACE INC,006034,TILE
INTERFACE SYSTEMS INC,006035,INTF.1
INTERGRAPH CORP,006036,INGR.
INTERMAGNETICS GENERAL CORP,006039,IMGC
PURESAFE WATER SYSTEMS INC,006040,PSWS
INTERMET CORP,006044,INMTQ
BARGO ENERGY CO,006047,3BARG
INTERMOUNTAIN RESOURCES INC,006051,4061B
INTERNATIONAL ALUMINUM CORP,006053,IAL
STEM CELL INNOVATIONS INC,006054,SCLL
AMERICAN BANKNOTE CORP,006062,3ABNTQ
INTL BUSINESS MACHINES CORP,006066,IBM
INTL FLAVORS & FRAGRANCES,006078,IFF
NAVISTAR INTERNATIONAL CORP,006081,NAV
NAVISTAR FINANCIAL CORP,006082,NAV1
INTL LEASE FINANCE CORP,006089,AIG1
INTL LEISURE HOSTS,006091,ILHL
MALLINCKRODT INC,006096,MKG
INTL GAME TECHNOLOGY,006097,IGT.1
INTERDIGITAL INC,006100,IDCC
INTL MULTIFOODS CORP,006102,IMC.1
INTL PAPER CO,006104,IP
INTL RECTIFIER CORP,006109,IRF
IRIS INTERNATIONAL INC,006110,IRIS
INTL SHIPHOLDING CORP,006115,ISHCQ
INTL SPEEDWAY CORP  -CL A,006116,ISCA
IT GROUP INC,006121,ITXG
INTL THOROUGHBRED BREEDERS,006124,ITGB
INTL LOTTERY & TOTALIZATOR,006125,ITSI
ENRON CORP,006127,ENRNQ
INTERPHASE CORP,006130,INPHQ
ENBRIDGE INC,006135,ENB
INTERPUBLIC GROUP OF COS,006136,IPG
INTERSTATE BAKERIES CORP,006140,IBCIQ
INTERVOICE INC,006152,INTV.1
INVACARE CORP,006158,IVC
SI TECHNOLOGIES INC,006159,SISI
IOMEGA CORP,006169,IOM
MEDLINK INTERNATIONAL INC,006170,MLKNA
IONICS INC,006171,ION.2
IPALCO ENTERPRISES INC,006178,AES4
IPSCO INC,006180,IPS.2
IREX CORP,006182,IREX
ISC8 INC,006185,ISCIQ
ISOMET CORP,006193,IOMT
ISRAMCO INC,006194,ISRL
ANIXTER INTL INC,006196,AXE
ITO-YOKADO CO LTD,006197,IYCLY
IVACO INC  -CL A,006198,IVAAF
JG INDUSTRIES INC,006206,3JGIN
JLG INDUSTRIES INC,006207,JLG
EPOCH HOLDING CORP,006213,EPHC
JACLYN INC,006214,JCLY
JACO ELECTRONICS INC,006215,JACO
